ID,X,Y
9743,"[0, 2, 0.013147404661005184, 0]",0
9744,"[0, 2, 0.15650025861432884, 1]",1
9745,"[0, 3, 0.05684207506275152, 0]",1
9746,"[1, 2, 0.041268903812682604, 0]",0
9747,"[0, 3, 0.06846886314376888, 0]",0
9748,"[0, 1, 0.11836514545273114, 1]",1
9749,"[1, 2, 0.008656982696338592, 0]",0
9750,"[0, 2, 0.16362240694936364, 0]",1
9751,"[1, 2, 0.04560443571760848, 0]",1
9752,"[1, 3, 0.007626911337533748, 0]",0
9753,"[1, 2, 0.017826212889501956, 0]",0
9754,"[0, 2, 0.06784343702778493, 0]",1
9755,"[0, 3, 0.0060738507627536905, 0]",0
9756,"[0, 1, 0.09170928422893074, 1]",1
9757,"[1, 3, 0.049523013483622605, 0]",0
9758,"[0, 1, 0.0262963848354855, 1]",1
9759,"[0, 1, 0.10038296312086217, 0]",1
9760,"[1, 3, 0.03204925508857266, 0]",0
9761,"[1, 1, 0.0038056599005615497, 0]",0
9762,"[1, 2, 0.013330221143034646, 0]",0
9763,"[1, 1, 0.08700080407535093, 0]",0
9764,"[0, 2, 0.025970948089015778, 0]",0
9765,"[0, 1, 0.13330901261171318, 0]",1
9766,"[0, 2, 0.10302151548663636, 1]",1
9767,"[1, 1, 0.0147766781471395, 0]",0
9768,"[1, 2, 0.07927973627173238, 0]",0
9769,"[0, 2, 0.04564590876251259, 0]",0
9770,"[0, 2, 0.0836841660646064, 0]",0
9771,"[1, 3, 0.00843873943508636, 0]",0
9772,"[1, 1, 0.012113944831928023, 0]",0
9773,"[1, 3, 0.046373306508227886, 0]",0
9774,"[1, 2, 0.032393870734686345, 0]",0
9775,"[1, 3, 0.01075939277973511, 0]",0
9776,"[0, 1, 0.04709765407896827, 0]",1
9777,"[1, 1, 0.006699812359754752, 0]",0
9778,"[1, 1, 0.0072054726643728945, 0]",0
9779,"[1, 1, 0.01817868314337455, 0]",1
9780,"[0, 2, 0.0418420830323032, 0]",1
9781,"[0, 2, 0.024145263551820475, 0]",0
9782,"[1, 3, 0.09129181752502517, 0]",0
9783,"[0, 1, 0.0377500404817327, 0]",1
9784,"[0, 2, 0.04929340452890773, 0]",0
9785,"[0, 1, 0.08317888252095752, 1]",1
9786,"[1, 3, 0.01190762837282937, 0]",0
9787,"[0, 3, 0.04303757111894044, 0]",0
9788,"[0, 1, 0.14574467759728765, 0]",1
9789,"[1, 3, 0.07927973627173238, 0]",0
9790,"[1, 1, 0.011315353855636132, 0]",0
9791,"[0, 1, 0.15594150414748076, 1]",1
9792,"[1, 2, 0.056780180504525914, 0]",0
9793,"[0, 2, 0.058955968432884046, 0]",1
9794,"[0, 1, 0.03400237891961211, 0]",0
9795,"[0, 1, 0.14563250880309853, 0]",1
9796,"[0, 1, 0.31165137706818935, 1]",1
9797,"[1, 2, 0.06025259956651661, 0]",0
9798,"[0, 2, 0.03242217028962664, 0]",1
9799,"[0, 1, 0.10496531766562951, 1]",1
9800,"[0, 2, 0.05843682744623043, 1]",1
9801,"[0, 1, 0.19406378498645455, 0]",1
9802,"[0, 1, 0.08988570823982393, 0]",1
9803,"[0, 2, 0.07646957850554452, 1]",1
9804,"[0, 2, 0.031235914875074298, 0]",0
9805,"[0, 2, 0.04243140814543423, 0]",0
9806,"[0, 3, 0.038134556687668734, 0]",1
9807,"[0, 1, 0.07898245309050328, 1]",1
9808,"[1, 1, 0.01097740577535627, 0]",0
9809,"[1, 2, 0.04303757111894044, 0]",0
9810,"[0, 2, 0.04610239109748795, 1]",1
9811,"[0, 1, 0.04884995683589053, 1]",1
9812,"[1, 1, 0.02074576541490571, 0]",0
9813,"[1, 1, 0.045147230316195865, 0]",0
9814,"[0, 2, 0.021987343603039083, 1]",1
9815,"[0, 1, 0.019273669051935824, 0]",1
9816,"[0, 2, 0.019126557936208138, 1]",1
9817,"[0, 3, 0.09414468682268219, 0]",0
9818,"[1, 1, 0.0314722308868205, 0]",0
9819,"[0, 2, 0.052508191780793016, 1]",1
9820,"[1, 1, 0.03862346126058757, 0]",0
9821,"[0, 1, 0.0830322662131099, 0]",1
9822,"[0, 2, 0.04299621153628223, 1]",1
9823,"[0, 1, 0.05987641998262524, 0]",1
9824,"[0, 2, 0.01793232129955851, 0]",0
9825,"[1, 2, 0.047145439290494605, 0]",0
9826,"[1, 2, 0.09092281776823304, 0]",0
9827,"[0, 1, 0.07333608883952514, 1]",1
9828,"[1, 1, 0.030569761409643584, 0]",0
9829,"[0, 2, 0.02041001467267711, 0]",1
9830,"[0, 3, 0.010761737797268075, 0]",0
9831,"[1, 3, 0.02869171407929362, 0]",0
9832,"[0, 1, 0.07006116228664722, 0]",0
9833,"[0, 2, 0.03188464918196539, 0]",1
9834,"[1, 3, 0.00676783678379363, 0]",0
9835,"[1, 2, 0.06025259956651661, 0]",0
9836,"[0, 1, 0.042621096685290544, 0]",1
9837,"[0, 1, 0.10187481646727985, 1]",1
9838,"[0, 1, 0.040718246176436136, 0]",1
9839,"[0, 1, 0.045484334290031396, 1]",1
9840,"[1, 2, 0.06694733285168512, 0]",0
9841,"[0, 1, 0.1100511410747169, 0]",0
9842,"[0, 2, 0.040097361850047385, 0]",1
9843,"[0, 3, 0.0313815622742274, 0]",0
9844,"[1, 1, 0.041268903812682604, 0]",0
9845,"[0, 2, 0.04541871551060723, 1]",1
9846,"[0, 1, 0.04732726994020608, 1]",1
9847,"[1, 2, 0.01871198744301758, 0]",0
9848,"[0, 1, 0.10770434551032715, 1]",1
9849,"[0, 1, 0.10232027579260869, 1]",1
9850,"[1, 3, 0.061482244455629186, 0]",0
9851,"[1, 3, 0.009156930025306476, 0]",0
9852,"[0, 2, 0.05792160395169317, 1]",1
9853,"[0, 1, 0.16284486369328813, 1]",1
9854,"[0, 1, 0.03008206350888075, 0]",1
9855,"[0, 2, 0.07659228758455501, 1]",1
9856,"[0, 1, 0.05792160395169317, 1]",1
9857,"[1, 2, 0.06025259956651661, 0]",0
9858,"[1, 2, 0.02788011308702659, 0]",0
9859,"[1, 3, 0.05793519189088135, 0]",0
9860,"[0, 2, 0.01694705553456833, 1]",1
9861,"[0, 3, 0.03755127381056512, 0]",1
9862,"[0, 1, 0.024875537343932434, 0]",1
9863,"[1, 3, 0.08607514223788088, 0]",0
9864,"[0, 1, 0.06214831609630118, 0]",0
9865,"[0, 1, 0.14212457245966623, 1]",1
9866,"[0, 1, 0.03853946522663262, 1]",1
9867,"[0, 1, 0.07693998144010873, 0]",1
9868,"[0, 3, 0.0627631245484548, 0]",0
9869,"[1, 1, 0.08800928234795564, 0]",1
9870,"[1, 3, 0.0418420830323032, 0]",0
9871,"[1, 2, 0.013271497701875903, 0]",0
9872,"[0, 1, 0.06482715792661181, 0]",1
9873,"[1, 1, 0.0645501878392951, 0]",0
9874,"[1, 1, 0.0362705414036372, 0]",0
9875,"[1, 1, 0.04176867475158474, 0]",0
9876,"[0, 1, 0.028894238112085188, 1]",1
9877,"[0, 3, 0.07059850046038532, 0]",1
9878,"[1, 1, 0.007752043920330731, 0]",0
9879,"[1, 1, 0.028124878737672967, 0]",0
9880,"[1, 1, 0.04561718543362072, 0]",0
9881,"[1, 2, 0.03188464918196539, 0]",0
9882,"[0, 2, 0.06709380060879107, 1]",1
9883,"[0, 1, 0.033957082723463324, 1]",1
9884,"[0, 3, 0.034627930785354366, 0]",0
9885,"[0, 2, 0.04496462654217657, 1]",1
9886,"[0, 2, 0.02091639991128402, 0]",1
9887,"[0, 1, 0.05982423218968021, 1]",1
9888,"[1, 1, 0.024122380224225092, 0]",0
9889,"[0, 1, 0.051160449270906, 1]",1
9890,"[0, 2, 0.04635968196898636, 0]",1
9891,"[1, 2, 0.03347366642584256, 0]",0
9892,"[0, 2, 0.06839193443856244, 1]",1
9893,"[0, 1, 0.07172928519823404, 0]",0
9894,"[1, 2, 0.07724692252117514, 0]",0
9895,"[1, 2, 0.009533639171917184, 0]",0
9896,"[0, 1, 0.05379696389867554, 0]",1
9897,"[0, 1, 0.033155863962329786, 0]",1
9898,"[0, 2, 0.029957817377299814, 0]",1
9899,"[1, 1, 0.044182528551237, 0]",0
9900,"[0, 2, 0.03671211986232058, 0]",1
9901,"[1, 1, 0.09363156976345442, 0]",1
9902,"[1, 1, 0.02226451400541742, 0]",0
9903,"[0, 2, 0.02823940018415413, 1]",1
9904,"[1, 2, 0.06549195605056153, 0]",0
9905,"[1, 1, 0.018596481347690312, 0]",0
9906,"[0, 3, 0.0418420830323032, 0]",0
9907,"[1, 1, 0.06571832680583448, 0]",1
9908,"[0, 1, 0.02281401622502696, 0]",0
9909,"[1, 3, 0.008732260806741537, 0]",0
9910,"[0, 1, 0.0934396480823068, 1]",1
9911,"[0, 2, 0.003785857087643384, 0]",0
9912,"[1, 1, 0.031642935417867224, 0]",0
9913,"[0, 1, 0.1192106107773935, 1]",1
9914,"[0, 1, 0.04528096999042349, 1]",1
9915,"[0, 1, 0.12362581858396364, 1]",1
9916,"[1, 1, 0.029540810710453707, 0]",0
9917,"[0, 2, 0.09978229395531031, 0]",1
9918,"[1, 1, 0.026011514655944038, 0]",0
9919,"[0, 1, 0.10286849681396232, 0]",1
9920,"[1, 2, 0.05205167057045987, 0]",0
9921,"[1, 3, 0.07531574945814576, 0]",0
9922,"[0, 1, 0.12547708923764828, 1]",1
9923,"[1, 1, 0.0632651504057004, 0]",1
9924,"[1, 1, 0.03680708553259807, 0]",0
9925,"[1, 1, 0.030430605841675052, 0]",0
9926,"[0, 1, 0.030391588708609796, 0]",1
9927,"[1, 1, 0.020658236251725897, 0]",0
9928,"[0, 2, 0.07136870146971955, 1]",0
9929,"[0, 2, 0.11221593846373684, 1]",1
9930,"[1, 1, 0.07355554148001368, 0]",0
9931,"[0, 2, 0.16507671161207535, 1]",1
9932,"[0, 1, 0.06784343702778493, 0]",1
9933,"[0, 3, 0.04634815351270508, 0]",0
9934,"[1, 1, 0.019836350917662702, 0]",1
9935,"[1, 2, 0.07724692252117514, 0]",0
9936,"[1, 1, 0.02405841711002843, 0]",1
9937,"[0, 1, 0.059473917891432956, 0]",1
9938,"[0, 3, 0.03807807024608816, 1]",1
9939,"[0, 1, 0.08496062142203775, 1]",1
9940,"[0, 1, 0.14294637880185734, 0]",1
9941,"[1, 1, 0.01978609824565849, 0]",0
9942,"[0, 1, 0.056780180504525914, 0]",1
9943,"[1, 1, 0.009739471241038406, 0]",0
9944,"[1, 3, 0.025970948089015778, 0]",0
9945,"[0, 3, 0.06549195605056153, 0]",0
9946,"[1, 1, 0.06273365299374738, 0]",1
9947,"[0, 2, 0.08860676406840677, 1]",1
9948,"[0, 1, 0.04667277732286953, 0]",1
9949,"[0, 1, 0.17660831226280518, 1]",1
9950,"[0, 1, 0.08842981588770694, 0]",1
9951,"[1, 2, 0.07531574945814576, 0]",0
9952,"[0, 2, 0.08227522122427529, 0]",1
9953,"[0, 2, 0.00710525938284394, 0]",0
9954,"[0, 3, 0.11549578224690718, 1]",1
9955,"[0, 3, 0.03787757636473181, 0]",0
9956,"[0, 1, 0.08590677028762538, 1]",1
9957,"[0, 1, 0.041517678136564845, 0]",0
9958,"[0, 1, 0.07517786265241032, 1]",1
9959,"[0, 1, 0.045960142803624024, 1]",1
9960,"[1, 1, 0.033069016607145146, 0]",0
9961,"[1, 1, 0.009624847467609625, 0]",0
9962,"[1, 1, 0.03096743487274934, 0]",0
9963,"[1, 2, 0.11089268947619711, 0]",0
9964,"[1, 2, 0.02299717540706741, 0]",0
9965,"[0, 2, 0.0282863755825108, 1]",1
9966,"[1, 3, 0.06409851017714532, 0]",0
9967,"[0, 1, 0.10238948164929504, 1]",1
9968,"[0, 1, 0.05522578089918774, 1]",1
9969,"[1, 2, 0.12968806057385765, 0]",1
9970,"[0, 3, 0.06409851017714532, 0]",1
9971,"[0, 1, 0.00522356976745301, 0]",0
9972,"[1, 1, 0.039024619452878495, 0]",0
9973,"[0, 1, 0.039390453404672336, 1]",1
9974,"[1, 2, 0.02594535178532478, 0]",0
9975,"[0, 2, 0.07386519751096755, 1]",1
9976,"[0, 1, 0.024249288022414633, 0]",1
9977,"[1, 3, 0.061482244455629186, 0]",0
9978,"[0, 1, 0.06937845277723849, 0]",1
9979,"[1, 3, 0.033962413242870755, 0]",0
9980,"[0, 1, 0.01242873990306127, 0]",0
9981,"[0, 3, 0.008913106444750978, 0]",0
9982,"[0, 1, 0.06301014005007445, 1]",1
9983,"[1, 1, 0.02622865084604974, 0]",0
9984,"[0, 3, 0.13928557274226985, 0]",1
9985,"[0, 2, 0.017947783987853363, 1]",1
9986,"[0, 1, 0.042417974674973095, 0]",1
9987,"[0, 1, 0.008707023058745175, 0]",0
9988,"[1, 1, 0.03171189450869295, 0]",0
9989,"[0, 2, 0.07006116228664722, 0]",1
9990,"[0, 3, 0.01357040530777401, 0]",0
9991,"[1, 1, 0.05177540104428369, 0]",0
9992,"[1, 1, 0.024805945421373314, 0]",0
9993,"[0, 1, 0.0627631245484548, 0]",1
9994,"[1, 3, 0.009327027796674396, 0]",0
9995,"[0, 2, 0.08972841671416716, 0]",1
9996,"[0, 2, 0.06181290929198182, 1]",1
9997,"[0, 2, 0.01766217668351029, 0]",1
9998,"[0, 1, 0.03250166352742485, 0]",1
9999,"[0, 2, 0.016890193262535838, 1]",1
10000,"[0, 1, 0.0593315460378533, 1]",1
10001,"[1, 3, 0.047819523465489365, 0]",0
10002,"[0, 1, 0.12512043076748278, 0]",1
10003,"[0, 1, 0.01963934902491088, 1]",0
10004,"[0, 3, 0.06694733285168512, 0]",0
10005,"[0, 1, 0.015216165163974366, 0]",1
10006,"[1, 2, 0.02658202922052203, 0]",0
10007,"[0, 1, 0.056306933661768664, 0]",1
10008,"[1, 1, 0.1483259154116957, 0]",1
10009,"[1, 3, 0.012985474044507889, 0]",0
10010,"[0, 1, 0.01261160345327002, 0]",0
10011,"[0, 2, 0.040022747023585346, 0]",1
10012,"[0, 2, 0.03151991015965412, 0]",1
10013,"[1, 1, 0.021375016123154678, 0]",0
10014,"[1, 1, 0.041860962546442136, 0]",0
10015,"[1, 2, 0.04585464211446537, 0]",0
10016,"[0, 1, 0.048123242602877994, 0]",1
10017,"[1, 1, 0.057450709175196985, 0]",0
10018,"[0, 1, 0.08100848721415739, 1]",1
10019,"[1, 1, 0.01902366256325766, 0]",0
10020,"[0, 2, 0.11126323672556727, 0]",0
10021,"[1, 2, 0.05753099743702451, 0]",0
10022,"[0, 3, 0.06409851017714532, 0]",0
10023,"[1, 3, 0.0836841660646064, 0]",0
10024,"[1, 1, 0.0520838853894417, 0]",0
10025,"[0, 1, 0.09270561811662978, 0]",0
10026,"[1, 3, 0.01132567661024748, 0]",0
10027,"[0, 1, 0.057806755560504845, 1]",1
10028,"[1, 2, 0.011157888808614186, 0]",0
10029,"[0, 1, 0.15281189744103096, 1]",1
10030,"[1, 1, 0.03538547043010554, 0]",1
10031,"[0, 2, 0.04310984537318157, 0]",1
10032,"[1, 3, 0.009019850234508473, 0]",0
10033,"[1, 1, 0.0263093360529717, 0]",0
10034,"[1, 2, 0.03361569272124471, 0]",0
10035,"[1, 1, 0.1260202801001489, 0]",0
10036,"[0, 1, 0.18043812832521322, 1]",1
10037,"[0, 2, 0.02829892572720544, 0]",0
10038,"[1, 1, 0.10079167598459826, 0]",0
10039,"[1, 3, 0.03077239397794334, 0]",0
10040,"[0, 1, 0.06863999538313828, 0]",1
10041,"[0, 1, 0.057658372243269744, 0]",1
10042,"[1, 3, 0.06694733285168512, 0]",0
10043,"[0, 2, 0.023812516822077193, 1]",1
10044,"[0, 1, 0.08203631545336196, 0]",1
10045,"[0, 2, 0.05379696389867554, 0]",0
10046,"[0, 1, 0.03142882040261897, 0]",1
10047,"[0, 1, 0.07318474020334911, 0]",0
10048,"[0, 2, 0.04309309769289258, 0]",1
10049,"[0, 1, 0.06623157449250185, 1]",1
10050,"[0, 1, 0.07424397130878417, 0]",1
10051,"[1, 1, 0.0321065987834088, 0]",0
10052,"[0, 1, 0.11157888808614186, 0]",1
10053,"[0, 1, 0.05101063715905067, 1]",1
10054,"[0, 1, 0.06113364655250949, 0]",0
10055,"[0, 1, 0.11179014999433379, 0]",1
10056,"[1, 1, 0.08329852474633632, 0]",1
10057,"[0, 1, 0.15063149891629152, 0]",1
10058,"[1, 1, 0.0713284433710065, 0]",0
10059,"[0, 1, 0.08948405876215337, 0]",1
10060,"[0, 1, 0.08353734950316948, 1]",1
10061,"[0, 1, 0.13606676448451407, 0]",1
10062,"[0, 1, 0.07409131355572021, 1]",1
10063,"[1, 3, 0.026241329416407378, 0]",0
10064,"[1, 1, 0.014588059296784682, 0]",0
10065,"[0, 2, 0.05139115786900129, 0]",1
10066,"[0, 1, 0.09619653629335309, 0]",1
10067,"[1, 2, 0.11157888808614186, 0]",0
10068,"[0, 1, 0.027576340404094554, 0]",0
10069,"[0, 2, 0.27304097021622875, 1]",1
10070,"[1, 2, 0.009594362988298822, 0]",0
10071,"[0, 2, 0.07006116228664722, 0]",1
10072,"[0, 1, 0.033595558379991626, 0]",1
10073,"[1, 3, 0.03310582393764649, 0]",0
10074,"[1, 1, 0.011775308951806717, 0]",0
10075,"[0, 2, 0.031058041013668353, 0]",0
10076,"[0, 1, 0.05515268080818911, 0]",1
10077,"[0, 1, 0.023824396466976226, 0]",1
10078,"[1, 1, 0.014857987583911719, 0]",0
10079,"[1, 1, 0.010024614443837811, 0]",0
10080,"[1, 2, 0.09129181752502517, 0]",0
10081,"[0, 2, 0.12050519913303322, 0]",0
10082,"[0, 2, 0.0734787799591666, 0]",1
10083,"[0, 1, 0.030126299783258304, 0]",0
10084,"[0, 1, 0.044434760374026314, 0]",1
10085,"[0, 3, 0.029591286363182784, 0]",0
10086,"[1, 2, 0.10759392779735108, 0]",0
10087,"[0, 2, 0.08635006207671084, 0]",1
10088,"[0, 2, 0.061482244455629186, 0]",1
10089,"[1, 3, 0.04496462654217657, 0]",0
10090,"[0, 1, 0.09460639604702227, 1]",1
10091,"[1, 3, 0.03301858321520713, 0]",0
10092,"[1, 2, 0.13098391210112306, 0]",0
10093,"[1, 3, 0.009877475338773214, 0]",0
10094,"[0, 1, 0.014345606698545763, 0]",1
10095,"[0, 1, 0.08142243184664406, 0]",1
10096,"[0, 1, 0.08191550960576896, 1]",1
10097,"[0, 1, 0.020493233765124397, 1]",0
10098,"[0, 1, 0.10059545795634293, 1]",1
10099,"[0, 1, 0.03097316396676654, 0]",1
10100,"[0, 1, 0.19333443539529252, 1]",1
10101,"[0, 1, 0.1577340211221192, 1]",1
10102,"[1, 1, 0.0185113796919262, 0]",0
10103,"[1, 3, 0.059071176045604516, 0]",0
10104,"[1, 1, 0.030041467630808606, 0]",0
10105,"[0, 1, 0.0875726272266062, 1]",1
10106,"[0, 1, 0.07531574945814576, 1]",1
10107,"[1, 2, 0.010424325184518444, 0]",0
10108,"[1, 1, 0.10865455634335315, 0]",0
10109,"[0, 1, 0.025358601888010167, 1]",1
10110,"[0, 1, 0.13150368953009575, 1]",1
10111,"[0, 1, 0.20694444531983738, 1]",1
10112,"[1, 1, 0.029113838972001406, 0]",0
10113,"[1, 3, 0.10388379235606311, 0]",0
10114,"[0, 2, 0.06953952295347954, 0]",0
10115,"[1, 3, 0.008656982696338592, 0]",0
10116,"[1, 1, 0.013664700936266238, 0]",0
10117,"[1, 2, 0.03629674672681723, 0]",0
10118,"[0, 1, 0.07929129975492234, 0]",0
10119,"[1, 1, 0.07319323702777208, 0]",0
10120,"[0, 2, 0.034875361608184934, 1]",1
10121,"[1, 3, 0.04016839971101107, 0]",0
10122,"[1, 2, 0.0761314434955986, 0]",1
10123,"[1, 3, 0.052482658832814756, 0]",0
10124,"[1, 1, 0.04378083584216025, 0]",0
10125,"[1, 2, 0.03461914623531172, 0]",0
10126,"[0, 2, 0.06006916648100178, 0]",1
10127,"[0, 1, 0.15886644287179438, 1]",1
10128,"[1, 3, 0.09718161220405905, 0]",0
10129,"[0, 3, 0.009909967033966547, 0]",0
10130,"[1, 2, 0.0104605207580758, 0]",0
10131,"[0, 3, 0.03160887406976343, 0]",1
10132,"[0, 1, 0.1393733255711767, 1]",1
10133,"[0, 3, 0.22053549017526058, 0]",1
10134,"[1, 3, 0.03963986813586619, 0]",0
10135,"[1, 3, 0.0669229911940846, 0]",0
10136,"[1, 1, 0.06493298805382595, 0]",1
10137,"[0, 1, 0.18341856845786148, 0]",1
10138,"[1, 1, 0.09500924107835099, 0]",0
10139,"[1, 1, 0.008585503350493507, 0]",0
10140,"[1, 1, 0.12029208555014215, 0]",1
10141,"[0, 1, 0.08168364502963277, 1]",1
10142,"[0, 2, 0.028861587685827823, 0]",0
10143,"[1, 1, 0.03258569609460681, 0]",0
10144,"[0, 1, 0.026093703444068708, 0]",1
10145,"[0, 1, 0.03081687199619456, 0]",1
10146,"[0, 2, 0.06025259956651661, 0]",0
10147,"[1, 1, 0.015040012733600729, 0]",0
10148,"[0, 2, 0.09314421480426252, 0]",1
10149,"[0, 1, 0.05873030566217255, 1]",1
10150,"[1, 2, 0.047072343411341096, 0]",0
10151,"[0, 1, 0.03625744598952562, 1]",1
10152,"[0, 1, 0.1491738383985169, 1]",1
10153,"[0, 3, 0.08536857684203637, 0]",1
10154,"[1, 2, 0.020920294353752734, 0]",0
10155,"[0, 1, 0.05532427844030731, 0]",1
10156,"[1, 1, 0.1398587890685087, 0]",1
10157,"[1, 2, 0.020909925772385464, 0]",0
10158,"[0, 1, 0.09319339663375333, 0]",1
10159,"[1, 2, 0.04071121592332203, 0]",0
10160,"[0, 1, 0.018862315385695407, 0]",1
10161,"[1, 1, 0.039852060280508333, 0]",0
10162,"[1, 1, 0.02945902353736632, 0]",0
10163,"[0, 1, 0.07812144660187577, 0]",1
10164,"[0, 1, 0.08692440369184942, 1]",1
10165,"[1, 2, 0.02231577761722837, 0]",0
10166,"[0, 3, 0.07132258764459441, 0]",0
10167,"[1, 1, 0.020405381445959745, 0]",0
10168,"[0, 1, 0.11986926995399916, 0]",0
10169,"[0, 1, 0.06255136989253614, 0]",1
10170,"[0, 2, 0.036132644572534206, 0]",1
10171,"[1, 1, 0.08018220049980292, 0]",0
10172,"[0, 2, 0.015058726523224722, 1]",1
10173,"[1, 1, 0.03152539776253045, 0]",0
10174,"[0, 3, 0.041268903812682604, 0]",0
10175,"[0, 3, 0.028967595945440676, 0]",0
10176,"[1, 2, 0.0547750905150151, 0]",0
10177,"[1, 3, 0.051941896178031556, 0]",0
10178,"[1, 2, 0.011954880866372341, 0]",0
10179,"[0, 2, 0.1434585703964681, 1]",1
10180,"[1, 2, 0.07006116228664722, 0]",0
10181,"[1, 1, 0.07517786265241032, 0]",1
10182,"[0, 2, 0.13671944274998937, 1]",1
10183,"[0, 1, 0.03659661851388604, 0]",1
10184,"[0, 2, 0.03134436213197142, 1]",0
10185,"[0, 1, 0.06863999538313828, 0]",1
10186,"[1, 1, 0.01974988742012508, 0]",0
10187,"[0, 1, 0.08353734950316948, 1]",1
10188,"[0, 2, 0.02689848194933777, 0]",0
10189,"[0, 1, 0.08093170815322394, 0]",1
10190,"[0, 1, 0.13610412847220027, 1]",1
10191,"[0, 1, 0.04445171845655432, 0]",1
10192,"[0, 3, 0.13907904590695908, 0]",0
10193,"[0, 1, 0.03814135574276683, 0]",1
10194,"[1, 3, 0.07172928519823404, 0]",0
10195,"[1, 3, 0.06549195605056153, 0]",0
10196,"[0, 3, 0.025576851822564577, 0]",1
10197,"[0, 1, 0.0719060346577873, 1]",1
10198,"[1, 2, 0.041268903812682604, 0]",0
10199,"[0, 1, 0.004058267620406197, 1]",0
10200,"[0, 2, 0.014084283593061773, 1]",1
10201,"[0, 3, 0.043509036199567426, 0]",1
10202,"[1, 2, 0.05379696389867554, 0]",0
10203,"[0, 1, 0.1278755501792986, 0]",1
10204,"[0, 1, 0.0521450713822174, 1]",1
10205,"[1, 3, 0.04938737669386607, 0]",0
10206,"[0, 1, 0.22315777617228372, 1]",1
10207,"[0, 1, 0.09636764212171132, 1]",1
10208,"[0, 1, 0.03593182840035859, 1]",1
10209,"[0, 2, 0.08607514223788088, 0]",1
10210,"[0, 3, 0.05382936248219848, 0]",1
10211,"[0, 1, 0.014348066584751736, 0]",0
10212,"[1, 2, 0.07724692252117514, 0]",0
10213,"[1, 3, 0.034627930785354366, 0]",0
10214,"[0, 1, 0.023303702136250652, 0]",1
10215,"[1, 1, 0.004736174411932452, 0]",0
10216,"[0, 2, 0.1434585703964681, 0]",0
10217,"[0, 1, 0.024390849702479303, 0]",1
10218,"[1, 1, 0.02027883128489388, 0]",0
10219,"[1, 1, 0.045598989903476786, 0]",0
10220,"[0, 2, 0.10002085717460917, 0]",1
10221,"[0, 1, 0.1204293695447587, 0]",1
10222,"[0, 2, 0.09129181752502517, 0]",0
10223,"[0, 1, 0.057470210882637845, 0]",1
10224,"[1, 2, 0.030126299783258304, 0]",0
10225,"[0, 1, 0.14264517528918882, 0]",1
10226,"[0, 3, 0.08142243184664406, 0]",0
10227,"[1, 2, 0.007127306711093594, 0]",0
10228,"[0, 1, 0.026034619564027497, 0]",0
10229,"[0, 3, 0.008732260806741537, 0]",0
10230,"[1, 3, 0.01158703837817627, 0]",0
10231,"[0, 1, 0.02679639234353899, 0]",1
10232,"[1, 2, 0.008913106444750978, 0]",0
10233,"[0, 1, 0.039912056632084726, 1]",1
10234,"[1, 2, 0.008616661682272073, 0]",0
10235,"[0, 3, 0.042452464133837735, 0]",1
10236,"[0, 1, 0.08191550960576896, 1]",1
10237,"[1, 2, 0.04303757111894044, 0]",1
10238,"[1, 1, 0.015476446459899956, 0]",1
10239,"[1, 2, 0.13928557274226985, 0]",0
10240,"[0, 1, 0.04840383850862212, 0]",1
10241,"[1, 1, 0.02395414343656144, 0]",0
10242,"[1, 1, 0.006660248699072366, 0]",0
10243,"[1, 3, 0.034627930785354366, 0]",0
10244,"[0, 1, 0.06564626683553107, 0]",1
10245,"[0, 1, 0.07450927798609218, 1]",1
10246,"[0, 3, 0.02397914584602743, 0]",0
10247,"[0, 1, 0.02047887740144224, 1]",1
10248,"[1, 2, 0.10759392779735108, 0]",0
10249,"[0, 1, 0.09401025137759507, 1]",1
10250,"[1, 1, 0.04609155819251553, 1]",1
10251,"[0, 2, 0.08181120347468182, 0]",1
10252,"[0, 1, 0.08530679823568006, 1]",1
10253,"[0, 3, 0.06596203080911725, 1]",1
10254,"[1, 2, 0.05379696389867554, 0]",0
10255,"[0, 1, 0.05201753875747468, 1]",1
10256,"[1, 2, 0.014012232457329443, 0]",0
10257,"[0, 2, 0.11404277520476329, 1]",1
10258,"[0, 1, 0.08934984215757283, 0]",1
10259,"[0, 1, 0.09816897999858377, 1]",1
10260,"[0, 3, 0.06067577115916195, 0]",1
10261,"[1, 2, 0.02544640271253007, 0]",0
10262,"[0, 2, 0.06694733285168512, 0]",0
10263,"[0, 3, 0.019316534153744316, 0]",0
10264,"[1, 3, 0.01241777195597849, 0]",0
10265,"[1, 1, 0.00646863158790982, 0]",0
10266,"[0, 1, 0.11914983215384578, 1]",1
10267,"[0, 1, 0.02251046067437391, 0]",1
10268,"[0, 2, 0.07517786265241032, 0]",1
10269,"[0, 2, 0.04145857792509862, 0]",0
10270,"[0, 2, 0.06879171526377856, 1]",1
10271,"[1, 3, 0.06046915039433004, 0]",0
10272,"[0, 2, 0.017947783987853363, 1]",1
10273,"[1, 3, 0.07531574945814576, 0]",0
10274,"[1, 1, 0.035209885039736474, 0]",0
10275,"[0, 3, 0.005303926018179279, 0]",0
10276,"[0, 1, 0.011254917766131071, 0]",0
10277,"[0, 2, 0.044303382034203385, 1]",1
10278,"[1, 3, 0.060146042775071074, 0]",0
10279,"[0, 1, 0.09129181752502517, 0]",1
10280,"[1, 3, 0.048590806102029524, 0]",0
