ID,X,Y
127,"[0, 1, 0.09467276725575041, 0]",1
128,"[0, 1, 0.09745415582941129, 1]",1
129,"[1, 1, 0.047232071443565435, 0]",0
130,"[1, 3, 0.029828019587384458, 0]",0
131,"[0, 2, 0.06953952295347954, 0]",1
132,"[1, 3, 0.06784343702778493, 0]",0
133,"[1, 1, 0.02023918724080343, 0]",0
134,"[1, 2, 0.010352680337889452, 0]",0
135,"[1, 2, 0.03347366642584256, 0]",0
136,"[0, 1, 0.048503096706073896, 1]",1
137,"[1, 2, 0.08692440369184942, 0]",0
138,"[0, 1, 0.09563904693097873, 0]",1
139,"[0, 1, 0.08269109311307662, 0]",1
140,"[0, 1, 0.05292851764206255, 1]",1
141,"[0, 2, 0.2619678242022461, 1]",1
142,"[1, 2, 0.020165549573394774, 0]",0
143,"[0, 1, 0.1659728353209219, 0]",1
144,"[1, 1, 0.01941715865086472, 0]",0
145,"[0, 1, 0.08804320054880321, 0]",1
146,"[0, 2, 0.1103333122200205, 0]",1
147,"[1, 3, 0.07531574945814576, 0]",0
148,"[0, 2, 0.012046004012496293, 0]",1
149,"[1, 2, 0.0735118300584202, 0]",0
150,"[0, 1, 0.09606930246791541, 0]",1
151,"[1, 1, 0.032375383310760335, 0]",0
152,"[1, 1, 0.007059459389415285, 0]",0
153,"[1, 1, 0.013632807357446002, 0]",0
154,"[1, 1, 0.03526349243239899, 0]",1
155,"[0, 2, 0.11255230337186956, 0]",1
156,"[0, 3, 0.06321774813952687, 0]",0
157,"[0, 2, 0.037751551059390674, 1]",1
158,"[0, 2, 0.05101063715905067, 1]",1
159,"[0, 1, 0.20332495979890705, 1]",1
160,"[1, 2, 0.0627631245484548, 0]",0
161,"[0, 2, 0.11104981989254879, 1]",1
162,"[0, 2, 0.07561216806008936, 1]",1
163,"[0, 3, 0.04391594221666325, 0]",0
164,"[1, 3, 0.10388379235606311, 0]",0
165,"[0, 3, 0.034340505162212126, 0]",0
166,"[0, 1, 0.13227606642858059, 1]",1
167,"[0, 2, 0.04795829169205486, 0]",1
168,"[0, 1, 0.0927367044255396, 0]",1
169,"[0, 1, 0.06801418287873423, 0]",1
170,"[0, 1, 0.07001455288254238, 0]",1
171,"[0, 2, 0.019228835406579263, 0]",1
172,"[0, 1, 0.07515480938914632, 0]",1
173,"[1, 2, 0.05021049963876384, 0]",0
174,"[0, 1, 0.1020713907350388, 1]",1
175,"[0, 1, 0.055133872543815146, 0]",1
176,"[0, 1, 0.055895074997166894, 1]",1
177,"[0, 3, 0.0734787799591666, 0]",0
178,"[0, 1, 0.04850799781485018, 0]",1
179,"[0, 1, 0.05966953535940677, 1]",1
180,"[0, 3, 0.06784343702778493, 0]",0
181,"[0, 2, 0.025730829577764194, 0]",1
182,"[0, 1, 0.03878630335915034, 0]",1
183,"[1, 1, 0.038029272990226376, 0]",0
184,"[0, 2, 0.00643156019267826, 1]",1
185,"[1, 1, 0.012023737602932072, 0]",0
186,"[0, 1, 0.03721502561385921, 0]",1
187,"[0, 1, 0.14331542103594253, 1]",1
188,"[1, 2, 0.08253780762536521, 0]",1
189,"[0, 1, 0.009397250796935026, 0]",0
190,"[0, 1, 0.1935826492096919, 1]",1
191,"[1, 2, 0.024495686268272577, 0]",0
192,"[0, 1, 0.06078317741721959, 1]",1
193,"[1, 1, 0.005299754194529428, 0]",0
194,"[1, 2, 0.028765498718512254, 0]",0
195,"[1, 3, 0.004721990561639233, 0]",0
196,"[0, 1, 0.09934217564782792, 1]",1
197,"[1, 1, 0.10388379235606311, 0]",0
198,"[0, 1, 0.01758328174275849, 1]",1
199,"[0, 3, 0.026426578757244124, 0]",0
